text,general_distress,peer_pressure,substance_exposure,craving_or_relapse_risk,immediate_help_request
I am scared my friends will reject me if I do not take something tonight.,0,1,1,0,0
I have been anxious most evenings.,1,0,0,0,0
I feel tempted to use again after seeing old friends.,1,0,0,1,0
I am preparing a school presentation about substance misuse. It was educational.,0,0,0,0,0
Someone offered me an unknown pill at a party.,0,0,1,0,0
We discussed drug prevention in class. I am asking for general information.,0,0,0,0,0
People at the party want me try their pills.,0,1,1,0,0
I am preparing a school presentation about substance misuse. I am asking for general information.,0,0,0,0,0
The news report mentioned illegal substances. I am asking for general information.,0,0,0,0,0
I am struggling to cope because of problems at home.,1,0,0,0,0
I watched a documentary about addiction recovery. It was educational.,0,0,0,0,0
I am reading about how counsellors support recovery.,0,0,0,0,0
I feel isolated when people argue around me.,1,0,0,0,0
My family attended a prevention workshop. It was educational.,0,0,0,0,0
People were using substances near me at a gathering.,0,0,1,0,0
The app should protect private conversations.,0,0,0,0,0
I keep ending up around people who use at my neighbourhood.,0,0,1,0,0
I watched a documentary about addiction recovery. I am asking for general information.,0,0,0,0,0
Coffee made me feel restless this morning. It was educational.,0,0,0,0,0
My friend said the actor needed help in the movie. It was educational.,0,0,0,0,0
We discussed drug prevention in class.,0,0,0,0,0
I do not want to use drugs. It was educational.,0,0,0,0,0
The cravings are strong after a difficult day.,1,0,0,1,0
I am struggling to cope when I am alone.,1,0,0,0,0
Someone offered me an unknown pill at the park.,0,0,1,0,0
I saw someone sharing a substance at a gathering.,0,0,1,0,0
Everything feels too much after school.,1,0,0,0,0
I feel stressed about my examination. I am asking for general information.,0,0,0,0,0
I cannot calm down most evenings.,1,0,0,0,0
Someone offered me an unknown pill at the bus stop.,0,0,1,0,0
I cannot calm down for the past few days.,1,0,0,0,0
I cannot calm down and I cannot focus.,1,0,0,0,0
A person asked whether I wanted to try something at a gathering.,0,0,1,0,0
I watched a documentary about addiction recovery. I feel safe right now.,0,0,0,0,0
My stress is getting worse for the past few days.,1,0,0,0,0
My group says I have to take something tonight.,0,1,1,0,0
I am not safe and need someone now.,1,0,0,0,1
I keep thinking about going back after a difficult day.,1,0,0,1,0
I feel overwhelmed and I cannot focus.,1,0,0,0,0
Exercise made my heart rate increase. I feel safe right now.,0,0,0,0,0
Someone keeps daring me try their pills.,0,1,1,0,0
I keep ending up around people who use at the park.,0,0,1,0,0
I am tired after football practice. I feel safe right now.,0,0,0,0,0
The news report mentioned illegal substances.,0,0,0,0,0
I saw someone sharing a substance at a friend's house.,0,0,1,0,0
I am struggling to cope most evenings.,1,0,0,0,0
They keep telling me it is harmless if I smoke with them.,0,1,1,0,0
I am struggling with cravings because I feel alone.,1,0,0,1,0
I have been feeling hopeless when I am alone.,1,0,0,0,0
I keep ending up around people who use at a gathering.,0,0,1,0,0
The cravings are strong after seeing old friends.,1,0,0,1,0
I am preparing a school presentation about substance misuse. This is for a project.,0,0,0,0,0
My group says I have to try their pills.,0,1,1,0,0
I am struggling with cravings and I need a distraction.,1,0,0,1,0
I feel isolated because of problems at home.,1,0,0,0,0
There are drugs around me when I go to the park.,0,0,1,0,0
I am struggling to cope for the past few days.,1,0,0,0,0
There are drugs around me when I go to a party.,0,0,1,0,0
I do not want to use drugs. I am asking for general information.,0,0,0,0,0
I feel overwhelmed after school.,1,0,0,0,0
"I used to struggle, but I feel safe and supported now.",0,0,0,0,0
I do not want to use drugs.,0,0,0,0,0
I am learning about first aid. I feel safe right now.,0,0,0,0,0
People at the party want me join them after school.,0,1,1,0,0
I am struggling with cravings after a difficult day.,1,0,0,1,0
I am learning about first aid. I am asking for general information.,0,0,0,0,0
We discussed drug prevention in class. This is for a project.,0,0,0,0,0
Our teacher explained how to refuse peer pressure.,0,0,0,0,0
Coffee made me feel restless this morning. I feel safe right now.,0,0,0,0,0
"I used to struggle, but I feel safe and supported now. I feel safe right now.",0,0,0,0,0
I feel isolated for the past few days.,1,0,0,0,0
I want to stay in recovery but I feel tempted tonight.,1,0,0,1,0
I am struggling with cravings when I feel stressed.,1,0,0,1,0
I feel overwhelmed when I am alone.,1,0,0,0,0
I saw someone sharing a substance at after school.,0,0,1,0,0
My friends keep pressuring me try their pills.,0,1,1,0,0
Our teacher explained how to refuse peer pressure. I am asking for general information.,0,0,0,0,0
My friend said the actor needed help in the movie. I am asking for general information.,0,0,0,0,0
Being here makes me want to use again after a difficult day.,1,0,0,1,0
Exercise made my heart rate increase. It was educational.,0,0,0,0,0
"I used to struggle, but I feel safe and supported now. This is for a project.",0,0,0,0,0
My assignment is about peer pressure. It was educational.,0,0,0,0,0
I keep ending up around people who use at a party.,0,0,1,0,0
I do not know how to say no when they ask me take something tonight.,0,1,1,0,0
Coffee made me feel restless this morning. This is for a project.,0,0,0,0,0
My friend said the actor needed help in the movie. This is for a project.,0,0,0,0,0
I feel tempted to use again tonight.,1,0,0,1,0
Everything feels too much when people argue around me.,1,0,0,0,0
I feel isolated and I cannot focus.,1,0,0,0,0
I am proud that I followed my recovery plan today. I am asking for general information.,0,0,0,0,0
I am reading about how counsellors support recovery. I am asking for general information.,0,0,0,0,0
I am reading about how counsellors support recovery. I feel safe right now.,0,0,0,0,0
Someone offered me an unknown pill at the weekend event.,0,0,1,0,0
There are drugs around me when I go to a friend's house.,0,0,1,0,0
My cravings are intense and I need help now.,1,0,0,1,1
I am preparing a school presentation about substance misuse.,0,0,0,0,0
I am scared my friends will reject me if I do not use what they are offering.,0,1,1,0,0
I am preparing a school presentation about substance misuse. I feel safe right now.,0,0,0,0,0
Please call someone for me.,1,0,0,0,1
I do not know how to say no when they ask me drink what they brought.,0,1,1,0,0
A person asked whether I wanted to try something at after school.,0,0,1,0,0
Being here makes me want to use again when I feel stressed.,1,0,0,1,0
I feel like using again and I am not safe.,1,0,0,1,1
I saw someone sharing a substance at the park.,0,0,1,0,0
I saw someone sharing a substance at my neighbourhood.,0,0,1,0,0
Being here makes me want to use again tonight.,1,0,0,1,0
I am reading about how counsellors support recovery. This is for a project.,0,0,0,0,0
"I used to struggle, but I feel safe and supported now. I am asking for general information.",0,0,0,0,0
My friends keep pressuring me drink what they brought.,0,1,1,0,0
I feel stressed about my examination. It was educational.,0,0,0,0,0
People were using substances near me at after school.,0,0,1,0,0
I feel tempted to use again because I feel alone.,1,0,0,1,0
The app should protect private conversations. This is for a project.,0,0,0,0,0
Someone offered me an unknown pill at my neighbourhood.,0,0,1,0,0
The cravings are strong when I feel stressed.,1,0,0,1,0
My assignment is about peer pressure.,0,0,0,0,0
My assignment is about peer pressure. I feel safe right now.,0,0,0,0,0
The app should protect private conversations. I feel safe right now.,0,0,0,0,0
I am tempted to use and want urgent support.,1,0,0,1,1
A person asked whether I wanted to try something at the park.,0,0,1,0,0
I have been feeling hopeless and I do not know who to talk to.,1,0,0,0,0
My family attended a prevention workshop. I am asking for general information.,0,0,0,0,0
My friends keep pressuring me use what they are offering.,0,1,1,0,0
My classmates are pushing me take something tonight.,0,1,1,0,0
My group says I have to use what they are offering.,0,1,1,0,0
I nearly used again because I feel alone.,1,0,0,1,0
I have been anxious after school.,1,0,0,0,0
Please contact someone for me immediately.,1,0,0,0,1
My stress is getting worse when I am alone.,1,0,0,0,0
I have been anxious and I do not know who to talk to.,1,0,0,0,0
I am struggling with cravings after seeing old friends.,1,0,0,1,0
I am struggling with cravings tonight.,1,0,0,1,0
Contact someone now because I feel unsafe.,1,0,0,0,1
Exercise made my heart rate increase. This is for a project.,0,0,0,0,0
I keep thinking about going back and I need a distraction.,1,0,0,1,0
My stress is getting worse after school.,1,0,0,0,0
The news report mentioned illegal substances. I feel safe right now.,0,0,0,0,0
Our teacher explained how to refuse peer pressure. This is for a project.,0,0,0,0,0
I feel tempted to use again and I need a distraction.,1,0,0,1,0
Exercise made my heart rate increase. I am asking for general information.,0,0,0,0,0
My friends keep pressuring me join them after school.,0,1,1,0,0
They keep telling me it is harmless if I drink what they brought.,0,1,1,0,0
My assignment is about peer pressure. This is for a project.,0,0,0,0,0
The news report mentioned illegal substances. It was educational.,0,0,0,0,0
I am proud that I followed my recovery plan today.,0,0,0,0,0
Someone keeps daring me join them after school.,0,1,1,0,0
Everything feels too much and I cannot focus.,1,0,0,0,0
I saw someone sharing a substance at a party.,0,0,1,0,0
I do not know how to say no when they ask me smoke with them.,0,1,1,0,0
I am worried I might relapse and I need a distraction.,1,0,0,1,0
I want to stay in recovery but I feel tempted after a difficult day.,1,0,0,1,0
Someone keeps daring me smoke with them.,0,1,1,0,0
I want to stay in recovery but I feel tempted after seeing old friends.,1,0,0,1,0
We discussed drug prevention in class. I feel safe right now.,0,0,0,0,0
Coffee made me feel restless this morning. I am asking for general information.,0,0,0,0,0
I am tired after football practice. It was educational.,0,0,0,0,0
I have been feeling hopeless because of problems at home.,1,0,0,0,0
I am learning about first aid. This is for a project.,0,0,0,0,0
The app should protect private conversations. I am asking for general information.,0,0,0,0,0
A person asked whether I wanted to try something at the bus stop.,0,0,1,0,0
People were using substances near me at the bus stop.,0,0,1,0,0
I cannot calm down when people argue around me.,1,0,0,0,0
Everything feels too much because of problems at home.,1,0,0,0,0
They keep telling me it is harmless if I use what they are offering.,0,1,1,0,0
I want to stay in recovery but I feel tempted when I feel stressed.,1,0,0,1,0
A person asked whether I wanted to try something at the weekend event.,0,0,1,0,0
I am struggling to cope after school.,1,0,0,0,0
Being here makes me want to use again and I need a distraction.,1,0,0,1,0
My stress is getting worse when people argue around me.,1,0,0,0,0
"I used to struggle, but I feel safe and supported now. It was educational.",0,0,0,0,0
My assignment is about peer pressure. I am asking for general information.,0,0,0,0,0
I cannot calm down and I do not know who to talk to.,1,0,0,0,0
There are drugs around me when I go to my neighbourhood.,0,0,1,0,0
I keep thinking about going back because I feel alone.,1,0,0,1,0
I am worried I might relapse after a difficult day.,1,0,0,1,0
I have been feeling hopeless most evenings.,1,0,0,0,0
Being here makes me want to use again because I feel alone.,1,0,0,1,0
My family attended a prevention workshop.,0,0,0,0,0
I said no when someone offered me something. I am asking for general information.,0,0,0,0,0
I keep thinking about going back tonight.,1,0,0,1,0
I do not know how to say no when they ask me use what they are offering.,0,1,1,0,0
My group says I have to drink what they brought.,0,1,1,0,0
I want general information about staying healthy. I am asking for general information.,0,0,0,0,0
I keep thinking about going back after seeing old friends.,1,0,0,1,0
My family attended a prevention workshop. This is for a project.,0,0,0,0,0
My group says I have to join them after school.,0,1,1,0,0
I feel overwhelmed because of problems at home.,1,0,0,0,0
I saw someone sharing a substance at the weekend event.,0,0,1,0,0
I want general information about staying healthy. This is for a project.,0,0,0,0,0
We discussed drug prevention in class. It was educational.,0,0,0,0,0
People were using substances near me at a party.,0,0,1,0,0
I need immediate help from a trusted person.,1,0,0,0,1
I said no when someone offered me something. It was educational.,0,0,0,0,0
My classmates are pushing me smoke with them.,0,1,1,0,0
Our teacher explained how to refuse peer pressure. I feel safe right now.,0,0,0,0,0
I have been anxious for the past few days.,1,0,0,0,0
I am learning about first aid.,0,0,0,0,0
I feel stressed about my examination.,0,0,0,0,0
People were using substances near me at my neighbourhood.,0,0,1,0,0
I do not know how to say no when they ask me join them after school.,0,1,1,0,0
I am struggling to cope when people argue around me.,1,0,0,0,0
I have been anxious when people argue around me.,1,0,0,0,0
I cannot calm down after school.,1,0,0,0,0
I cannot manage this and need help now.,1,0,0,0,1
I want general information about staying healthy. I feel safe right now.,0,0,0,0,0
I am struggling to cope and I cannot focus.,1,0,0,0,0
I am reading about how counsellors support recovery. It was educational.,0,0,0,0,0
I have been feeling hopeless and I cannot focus.,1,0,0,0,0
People at the party want me smoke with them.,0,1,1,0,0
People were using substances near me at a friend's house.,0,0,1,0,0
Someone offered me an unknown pill at after school.,0,0,1,0,0
I saw someone sharing a substance at the bus stop.,0,0,1,0,0
I have been anxious and I cannot focus.,1,0,0,0,0
My stress is getting worse most evenings.,1,0,0,0,0
I am proud that I followed my recovery plan today. I feel safe right now.,0,0,0,0,0
